year,avg_temp
1780,9.17
1781,8.31
1782,7.91
1783,9.27
1784,
1785,11.96
1786,8.21
1787,
1788,8.47
1789,8.56
1790,
1791,8.70
1792,8.22
1793,
1794,
1795,
1796,
1797,
1798,
1799,
1800,
1801,
1802,
1803,
1804,
1805,
1806,
1807,
1808,2.27
1809,6.75
1810,6.83
1811,6.90
1812,7.02
1813,7.56
1814,7.79
1815,7.18
1816,6.95
1817,7.12
1818,8.14
1819,7.43
1820,7.54
1821,7.87
1822,7.47
1823,8.06
1824,9.05
1825,7.96
1826,7.92
1827,9.08
1828,7.80
1829,7.93
1830,8.35
1831,7.62
1832,6.65
1833,7.86
1834,7.73
1835,7.40
1836,7.94
1837,7.52
1838,7.21
1839,7.51
1840,7.25
1841,7.74
1842,7.98
1843,8.22
1844,7.69
1845,7.83
1846,8.25
1847,7.96
1848,8.21
1849,8.35
1850,7.62
1851,8.88
1852,8.12
1853,8.57
1854,7.62
1855,8.56
1856,8.02
1857,7.26
1858,7.74
1859,8.35
1860,8.27
1861,7.17
1862,6.97
1863,7.58
1864,7.98
1865,8.20
1866,8.07
1867,8.09
1868,8.05
1869,8.51
1870,8.26
1871,8.27
1872,9.03
1873,8.95
1874,8.23
1875,7.98
1876,8.37
1877,8.67
1878,8.85
1879,8.99
1880,7.00
1881,7.94
1882,7.75
1883,8.27
1884,7.58
1885,8.09
1886,7.54
1887,8.16
1888,8.47
1889,8.43
1890,8.36
1891,7.83
1892,8.50
1893,7.87
1894,7.62
1895,8.00
1896,7.75
1897,8.10
1898,7.65
1899,9.38
1900,8.11
1901,9.08
1902,8.30
1903,7.85
1904,7.63
1905,8.16
1906,8.19
1907,7.41
1908,7.58
1909,8.43
1910,8.33
1911,6.84
1912,8.75
1913,7.93
1914,8.31
1915,8.72
1916,8.96
1917,9.29
1918,8.78
1919,8.68
1920,6.80
1921,7.49
1922,8.96
1923,8.68
1924,8.83
1925,8.79
1926,8.48
1927,8.43
1928,7.29
1929,7.62
1930,8.89
1931,7.67
1932,7.91
1933,7.56
1934,7.76
1935,8.75
1936,8.51
1937,9.09
1938,8.75
1939,8.77
1940,9.15
1941,8.84
1942,8.38
1943,8.39
1944,8.94
1945,7.68
1946,8.17
1947,9.28
1948,8.38
1949,7.89
1950,8.08
1951,8.60
1952,9.07
1953,8.19
1954,8.73
1955,9.81
1956,7.47
1957,8.97
1958,8.78
1959,7.71
1960,9.04
1961,9.27
1962,9.85
1963,9.05
1964,7.91
1965,8.33
1966,10.72
1967,7.99
1968,8.76
1969,8.02
1970,9.66
1971,8.98
1972,7.72
1973,8.04
1974,8.16
1975,8.85
1976,8.10
1977,8.47
1978,8.78
1979,9.95
1980,9.14
1981,9.65
1982,8.16
1983,8.82
1984,8.86
1985,8.97
1986,9.14
1987,8.71
1988,8.43
1989,9.67
1990,9.10
1991,9.22
1992,7.44
1993,7.69
1994,8.84
1995,9.76
1996,9.55
1997,9.10
1998,10.28
1999,10.11
2000,9.68
2001,10.18
2002,9.41
2003,9.20
2004,9.55
2005,9.58
2006,9.89
2007,9.44
2008,9.51
2009,9.67
2010,11.31
2011,8.93
2012,10.20
2013,11.08
